"title","title_type","genre","runtime","mpaa_rating","studio","thtr_rel_date","thtr_rel_year","thtr_rel_month","thtr_rel_day","dvd_rel_date","dvd_rel_year","dvd_rel_month","dvd_rel_day","imdb_rating","imdb_num_votes","critics_rating","critics_score","audience_rating","audience_score","best_pic_nom","best_pic_win","best_actor_win","best_actress_win","best_dir_win","top200_box","director","actor1","actor2","actor3","actor4","actor5","imdb_url","rt_url"
"Oh, God! Book II","Feature Film","Comedy",94,"PG","WARNER BROTHERS PICTURES",1980-10-03,1980,10,3,2005-02-15,2005,2,15,5.1,1674,"Rotten",50,"Spilled",38,"no","no","no","no","no","no","Gilbert Cates","George Burns","Suzanne Pleshette","Tracy Richards","David Birney","Louanne","http://www.imdb.com/title/tt0081268/","//www.rottentomatoes.com/m/oh_god_book_ii/"
"This Is the End","Feature Film","Drama",107,"R","Sony Pictures",2013-06-12,2013,6,12,2013-10-01,2013,10,1,6.7,297034,"Certified Fresh",83,"Upright",71,"no","no","no","no","no","no","Seth Rogen","James Franco","Jonah Hill","Danny McBride","Craig Robinson","Michael Cera","http://www.imdb.com/title/tt1245492/","//www.rottentomatoes.com/m/this_is_the_end/"
"In the Name of the Father","Feature Film","Drama",133,"R","Universal Pictures",1993-12-29,1993,12,29,1998-07-07,1998,7,7,8.1,103378,"Certified Fresh",94,"Upright",95,"yes","no","yes","yes","no","no","Jim Sheridan","Daniel Day-Lewis","Pete Postlethwaite","Emma Thompson","Corin Redgrave","John Lynch","http://www.imdb.com/title/tt0107207/","//www.rottentomatoes.com/m/in_the_name_of_the_father/"
"Curdled","Feature Film","Drama",88,"R","Miramax",1996-09-06,1996,9,6,2004-03-02,2004,3,2,5.9,4031,"Rotten",17,"Spilled",57,"no","no","no","no","no","no","Reb Braddock","Angela Jones","William Baldwin","Bruce Ramsay","Mel Gorham","Lois Chiles","http://www.imdb.com/title/tt0115994/","//www.rottentomatoes.com/m/curdled/"
"Lord of the Flies","Feature Film","Drama",90,"R","Nelson Entertainment",1989-01-01,1989,1,1,2001-11-20,2001,11,20,6.4,21704,"Fresh",63,"Spilled",52,"no","no","no","no","no","no","Harry Hook","Balthazar Getty","Chris Furrh","Danuel Pipoly","James Badge Dale","Gary Rule","http://www.imdb.com/title/tt0100054/","//www.rottentomatoes.com/m/lord_of_the_flies/"
"Epic Movie","Feature Film","Action & Adventure",86,"R","20th Century Fox",2007-01-26,2007,1,26,2007-05-22,2007,5,22,2.3,87652,"Rotten",2,"Spilled",29,"no","no","no","no","no","no","Aaron Seltzer","Kal Penn","Adam Campbell","Jayma Mays","Faune A. Chambers","Crispin Glover","http://www.imdb.com/title/tt0799949/","//www.rottentomatoes.com/m/epic_movie/"
"I'm Not There","Feature Film","Drama",135,"R","The Weinstein Co.",2007-11-21,2007,11,21,2008-05-06,2008,5,6,7,47297,"Certified Fresh",76,"Upright",70,"no","no","no","yes","no","no","Todd Haynes","Cate Blanchett","Christian Bale","Richard Gere","Heath Ledger","Marcus Carl Franklin","http://www.imdb.com/title/tt0368794/","//www.rottentomatoes.com/m/im_not_there_suppositions_on_a_film_concerning_dylan/"
"The Godfather, Part II","Feature Film","Mystery & Suspense",202,"R","Paramount Pictures",1974-12-20,1974,12,20,2005-05-24,2005,5,24,9,749783,"Certified Fresh",97,"Upright",97,"yes","yes","yes","yes","yes","no","Francis Ford Coppola","Al Pacino","Robert De Niro","Robert Duvall","Diane Keaton","Talia Shire","http://www.imdb.com/title/tt0071562/","//www.rottentomatoes.com/m/godfather_part_ii/"
"The White Countess","Feature Film","Drama",135,"PG-13","Sony Pictures Classics",2005-12-21,2005,12,21,2006-05-16,2006,5,16,6.7,5258,"Rotten",50,"Spilled",49,"no","no","no","no","no","no","James Ivory","Ralph Fiennes","Natasha Richardson","Vanessa Redgrave","Lynn Redgrave","Madeleine Potter","http://www.imdb.com/title/tt0384686/","//www.rottentomatoes.com/m/white_countess/"
"The Funeral","Feature Film","Drama",99,"R","Echo Bridge Home Entertainment",1996-11-01,1996,11,1,2000-07-11,2000,7,11,6.6,6804,"Fresh",79,"Upright",68,"no","no","no","no","no","no","Abel Ferrara","Christopher Walken","Chris Penn","Vincent Gallo","Benicio Del Toro","Annabella Sciorra","http://www.imdb.com/title/tt0116378/","//www.rottentomatoes.com/m/1074517-funeral/"
"Happy Feet","Feature Film","Animation",108,"PG","Warner Bros. Pictures",2006-11-17,2006,11,17,2007-03-27,2007,3,27,6.5,126257,"Certified Fresh",75,"Upright",70,"no","no","no","yes","no","no","George Miller","Elijah Wood","Robin Williams","Hugh Jackman","Nicole Kidman","Brittany Murphy","http://www.imdb.com/title/tt0366548/","//www.rottentomatoes.com/m/happy_feet/"
"Dumb and Dumberer: When Harry Met Lloyd","Feature Film","Comedy",85,"PG-13","New Line Cinema",2003-06-13,2003,6,13,2004-06-01,2004,6,1,3.4,30085,"Rotten",10,"Spilled",23,"no","no","no","no","no","no","Troy Miller","Eric Christian Olsen","Derek Richardson","Rachel Nichols","Cheri Oteri","Luis Guzman","http://www.imdb.com/title/tt0329028/","//www.rottentomatoes.com/m/dumb_and_dumberer_when_harry_met_lloyd/"
"Bridget Jones - The Edge of Reason","Feature Film","Drama",108,"R","Miramax Films",2004-11-12,2004,11,12,2005-03-22,2005,3,22,5.9,70737,"Rotten",27,"Upright",61,"no","no","yes","no","no","no","Beeban Kidron","Colin Firth","Renee Zellweger","Hugh Grant","Jim Broadbent","Gemma Jones","http://www.imdb.com/title/tt0317198/","//www.rottentomatoes.com/m/bridget_jones_the_edge_of_reason/"
"Ray","Feature Film","Drama",152,"PG-13","Universal Pictures",2004-10-29,2004,10,29,2005-02-01,2005,2,1,7.7,106171,"Certified Fresh",81,"Upright",87,"yes","no","yes","no","no","no","Taylor Hackford","Jamie Foxx","Kerry Washington","Regina King","Clifton Powell","Harry Lennix","http://www.imdb.com/title/tt0350258/","//www.rottentomatoes.com/m/ray/"
"Malibu's Most Wanted","Feature Film","Comedy",86,"PG-13","Warner Bros.",2003-04-18,2003,4,18,2003-09-09,2003,9,9,5.1,15714,"Rotten",31,"Spilled",53,"no","no","no","no","no","no","John Whitesell","Taye Diggs","Anthony Anderson","Regina Hall","Ryan O'Neal","Bo Derek","http://www.imdb.com/title/tt0328099/","//www.rottentomatoes.com/m/malibus_most_wanted/"
"Silent Fall","Feature Film","Mystery & Suspense",101,"R","Warner Home Video",1994-10-28,1994,10,28,2000-06-13,2000,6,13,5.9,2944,"Rotten",24,"Spilled",38,"no","no","yes","no","no","no","Bruce Beresford","Richard Dreyfuss","Ben Faulkner","Linda Hamilton","John Lithgow","J.T. Walsh","http://www.imdb.com/title/tt0111187/","//www.rottentomatoes.com/m/silent_fall/"
"A Prayer for the Dying","Feature Film","Drama",107,"R","Virgin Vision",1987-09-01,1987,9,1,2003-02-04,2003,2,4,6.4,3342,"Fresh",63,"Spilled",55,"no","no","no","no","no","no","Mike Hodges","Mickey Rourke","Bob Hoskins","Alan Bates","Sammi Davis","Christopher Fulford","http://www.imdb.com/title/tt0093771/","//www.rottentomatoes.com/m/a_prayer_for_the_dying/"
"Safe House","Feature Film","Mystery & Suspense",115,"R","Universal Pictures",2012-02-10,2012,2,10,2012-06-05,2012,6,5,6.8,161101,"Rotten",53,"Upright",64,"no","no","no","no","no","no","Daniel Espinosa","Ryan Reynolds","Vera Farmiga","Brendan Gleeson","Sam Shepard","Ruben Blades","http://www.imdb.com/title/tt1599348/","//www.rottentomatoes.com/m/safe_house_2012/"
"Malevolence","Feature Film","Horror",90,"R","Anchor Bay Entertainment",2004-09-10,2004,9,10,2005-04-19,2005,4,19,5.1,2386,"Rotten",33,"Spilled",27,"no","no","no","no","no","no","Stevan Mena","Samantha Dark","R. Brandon Johnson","Brandon Johnson","Heather Magee","Richard Glover","http://www.imdb.com/title/tt0388230/","//www.rottentomatoes.com/m/10004684-malevolence/"
"Visioneers","Feature Film","Drama",94,"R","Gravitas",2008-06-12,2008,6,12,2009-07-21,2009,7,21,6.1,4944,"Fresh",70,"Spilled",54,"no","no","no","no","no","no","Jared Drake","Zach Galifianakis","Judy Greer","Mia Maestro","Missi Pyle","Aubrey Morris","http://www.imdb.com/title/tt0833557/","//www.rottentomatoes.com/m/visioneers/"
"The Little Mermaid","Feature Film","Animation",83,"G","Walt Disney Pictures",1989-01-01,1989,1,1,1999-12-07,1999,12,7,7.6,160237,"Certified Fresh",92,"Upright",88,"no","no","no","no","no","no","John Musker","Jodi Benson","Samuel E. Wright","Pat Carroll","Buddy Hackett","Rene Auberjonois","http://www.imdb.com/title/tt0097757/","//www.rottentomatoes.com/m/the_little_mermaid_1989/"
